,start,end
intensification,2016-09-12 08:00:00,2016-09-12 20:00:00
intensification 2,2016-09-17 01:00:00,2016-09-18 22:00:00
mature,2016-09-12 09:00:00,2016-09-15 07:00:00
mature 2,2016-09-18 11:00:00,2016-09-22 18:00:00
decay,2016-09-14 20:00:00,2016-09-17 13:00:00
decay 2,2016-09-22 07:00:00,2016-09-23 14:00:00
