,start,end
intensification,2010-01-06 21:00:00,2010-01-07 02:00:00
decay,2010-01-07 03:00:00,2010-01-07 11:00:00
intensification 2,2010-01-07 12:00:00,2010-01-08 01:00:00
residual,2010-01-08 02:00:00,2010-01-08 09:00:00
