,start,end
intensification,2001-12-27 10:00:00,2001-12-31 05:00:00
residual,2001-12-31 06:00:00,2001-12-31 20:00:00
intensification 2,2001-12-31 21:00:00,2002-01-03 16:00:00
residual 2,2002-01-03 17:00:00,2002-01-04 11:00:00
