,start,end
decay,2001-02-07 06:00:00,2001-02-07 12:00:00
intensification,2001-02-07 13:00:00,2001-02-08 02:00:00
mature,2001-02-08 03:00:00,2001-02-08 06:00:00
decay 2,2001-02-09 05:00:00,2001-02-09 12:00:00
intensification 2,2001-02-08 15:00:00,2001-02-09 01:00:00
mature 2,2001-02-09 02:00:00,2001-02-09 04:00:00
