,start,end
incipient,1999-10-21 06:00:00,1999-10-21 08:00:00
intensification,1999-10-21 09:00:00,1999-10-23 01:00:00
mature,1999-10-23 02:00:00,1999-10-23 09:00:00
decay,1999-10-23 10:00:00,1999-10-23 17:00:00
