,start,end
intensification,1989-05-09 04:00:00,1989-05-09 10:00:00
mature,1989-05-09 11:00:00,1989-05-09 13:00:00
decay,1989-05-09 14:00:00,1989-05-10 03:00:00
intensification 2,1989-05-10 04:00:00,1989-05-11 00:00:00
mature 2,1989-05-11 01:00:00,1989-05-11 05:00:00
decay 2,1989-05-11 06:00:00,1989-05-11 17:00:00
