Region,Season,mean_Total,std_Total,mean_incipient,std_incipient,mean_intensification,std_intensification,mean_mature,std_mature,mean_decay,std_decay,mean_intensification 2,std_intensification 2,mean_mature 2,std_mature 2,mean_decay 2,std_decay 2,mean_residual,std_residual
Total,DJF,54.1,48.4,6.9,7.9,21.4,21.2,7.6,7.8,25.5,25.4,13.1,14.7,5.1,5.4,14.6,16.6,8.5,9.1
ARG,DJF,46.0,42.4,6.3,7.2,21.7,20.9,7.6,7.1,23.0,22.5,11.8,12.2,4.8,4.9,13.7,15.8,9.5,12.4
LA-PLATA,DJF,38.9,37.4,7.1,6.9,19.3,19.5,7.0,7.3,20.6,21.2,12.4,13.7,4.5,5.2,13.1,15.7,9.9,12.2
SE-BR,DJF,37.6,36.6,7.3,8.0,18.8,20.1,6.3,6.3,19.6,19.5,15.1,17.2,6.2,6.5,13.8,15.4,9.9,14.1
SE-SAO,DJF,44.9,41.5,6.9,7.3,20.5,19.4,7.4,7.1,23.5,23.8,15.3,16.4,5.6,5.4,13.9,15.9,9.8,13.9
AT-PEN,DJF,32.6,30.8,4.7,5.1,14.2,14.1,5.0,5.1,18.6,18.2,15.0,16.4,4.6,4.5,11.6,10.9,8.1,9.4
WEDDELL,DJF,33.3,31.7,5.9,6.9,16.8,17.8,5.1,5.1,15.5,14.7,15.2,14.8,4.7,4.5,12.8,11.3,15.6,14.5
SA-NAM,DJF,30.0,28.4,5.9,7.1,14.1,15.7,4.1,4.9,13.6,15.1,6.6,6.3,2.0,2.1,8.9,9.6,8.0,9.6
Total,JJA,56.0,47.1,7.1,8.2,22.9,21.4,7.7,7.6,25.6,25.3,12.7,13.1,4.7,4.6,14.3,15.5,8.6,10.9
ARG,JJA,44.0,39.0,6.8,7.8,20.2,19.5,7.0,7.0,21.3,20.9,13.1,12.7,4.9,4.9,14.4,14.7,8.8,10.8
LA-PLATA,JJA,45.5,40.3,8.1,8.7,22.0,21.2,7.8,7.8,23.1,22.9,13.6,13.1,5.3,5.0,15.7,15.1,12.9,16.0
SE-BR,JJA,35.7,34.0,7.0,6.8,17.6,17.0,6.7,6.6,20.0,20.2,12.0,13.2,4.9,5.1,14.2,15.1,9.5,12.6
SE-SAO,JJA,47.6,41.5,7.3,8.2,21.5,20.0,7.3,7.1,22.7,22.5,12.4,12.7,4.5,4.9,13.1,12.9,8.2,10.8
AT-PEN,JJA,34.0,31.5,5.4,6.3,16.1,16.3,5.3,5.2,17.8,16.7,15.0,16.2,5.3,5.3,14.9,14.9,10.6,13.4
WEDDELL,JJA,38.2,35.5,6.6,7.8,19.6,20.3,6.0,6.0,17.1,16.3,13.0,13.9,3.6,3.7,12.2,11.9,14.6,16.5
SA-NAM,JJA,34.1,31.7,6.3,6.4,16.7,17.1,5.7,6.1,16.8,17.1,10.8,10.8,3.7,3.9,13.0,14.1,10.6,13.3
Total,,57.2,49.1,6.9,8.1,22.8,22.0,7.7,7.7,26.3,25.7,13.2,14.1,4.9,5.0,14.3,15.5,9.2,11.2
ARG,,45.9,41.6,6.6,7.5,21.4,20.9,7.3,7.1,22.5,22.2,13.9,14.7,5.4,5.7,14.0,15.0,10.4,13.2
LA-PLATA,,43.7,40.2,7.7,8.3,21.0,20.7,7.6,7.9,21.9,22.3,13.7,13.9,5.1,5.1,15.6,17.3,12.1,14.9
SE-BR,,37.3,35.5,7.1,7.6,18.4,18.8,6.6,6.7,20.1,20.4,13.7,14.4,5.6,5.5,14.2,15.1,10.1,13.7
SE-SAO,,47.1,42.3,7.2,7.9,21.4,20.2,7.3,7.1,23.1,22.9,14.2,14.6,5.3,5.2,13.6,14.7,8.4,11.0
AT-PEN,,34.5,32.4,5.4,6.3,15.7,15.9,5.3,5.2,18.4,17.9,13.9,15.0,4.7,4.8,13.2,12.8,10.4,13.3
WEDDELL,,37.7,35.2,6.4,7.5,18.9,19.8,5.8,5.8,17.4,16.5,14.0,13.5,4.2,4.0,13.6,12.8,14.1,16.2
SA-NAM,,34.3,32.3,6.3,6.9,16.3,17.1,5.2,5.6,16.1,16.9,10.8,12.3,3.3,3.9,10.9,11.9,9.9,12.9
