Region,Season,mean_Total,std_Total,mean_incipient,std_incipient,mean_intensification,std_intensification,mean_mature,std_mature,mean_decay,std_decay,mean_intensification 2,std_intensification 2,mean_mature 2,std_mature 2,mean_decay 2,std_decay 2,mean_residual,std_residual
Total,DJF,83.1,61.9,10.9,9.6,32.4,25.6,12.3,9.1,38.6,31.6,20.6,17.9,8.5,6.0,22.3,19.7,13.5,10.7
ARG,DJF,76.3,60.8,19.1,23.1,34.2,27.8,12.3,8.3,35.3,28.5,18.9,15.0,8.2,5.2,21.8,19.9,15.2,15.5
LA-PLATA,DJF,65.0,56.0,20.5,28.8,31.0,26.6,11.5,8.1,32.0,27.9,19.2,15.4,7.6,5.5,20.0,18.0,15.4,15.4
SE-BR,DJF,63.7,54.6,21.9,29.9,29.6,25.7,10.4,7.2,30.6,25.1,23.8,21.9,10.2,7.3,22.3,20.2,15.9,16.7
SE-SAO,DJF,73.8,59.0,19.9,24.8,32.0,25.2,12.1,8.2,35.9,29.8,23.0,19.4,9.4,6.2,20.8,18.5,15.1,16.8
AT-PEN,DJF,56.3,49.2,19.3,29.8,23.5,20.8,8.6,5.5,28.9,24.0,21.3,16.0,7.4,4.3,17.7,11.8,14.0,12.6
WEDDELL,DJF,56.2,48.1,16.3,27.6,27.5,25.2,8.9,6.0,24.3,17.9,23.8,17.7,8.1,4.3,20.4,12.3,23.7,16.7
SA-NAM,DJF,52.0,45.9,17.9,30.0,22.8,22.3,7.0,5.2,21.8,21.2,12.3,8.0,4.2,2.4,14.8,11.9,13.0,11.5
Total,JJA,78.4,54.4,10.4,8.5,31.7,23.8,11.4,7.9,35.1,27.5,18.4,14.3,7.5,4.4,20.2,16.7,12.6,11.8
ARG,JJA,68.0,52.7,20.2,25.4,29.6,23.9,10.4,7.1,29.8,23.5,18.6,13.3,7.9,5.0,20.1,15.3,12.6,12.2
LA-PLATA,JJA,68.3,52.5,20.0,23.8,31.4,24.2,11.6,7.8,32.5,25.5,19.5,14.8,8.0,4.8,22.4,16.6,18.0,17.0
SE-BR,JJA,54.7,45.7,18.6,26.4,25.2,19.3,10.0,6.3,28.6,23.1,17.3,13.5,8.2,5.1,20.1,15.7,14.4,14.5
SE-SAO,JJA,71.6,53.5,18.0,22.2,30.5,23.2,10.9,7.3,32.2,26.4,17.6,13.0,7.1,4.4,18.5,13.9,12.0,11.8
AT-PEN,JJA,51.7,42.6,17.0,26.4,23.4,20.6,8.0,4.7,24.5,18.1,20.7,16.5,8.2,4.9,20.3,14.7,15.3,15.4
WEDDELL,JJA,59.3,49.2,19.0,26.3,28.5,24.3,9.2,6.2,24.7,19.3,19.8,15.5,6.3,3.6,17.5,12.1,20.0,17.7
SA-NAM,JJA,53.4,44.8,18.9,28.1,24.6,20.1,8.7,6.0,24.0,19.0,15.2,10.6,6.0,3.6,18.4,16.3,15.5,14.3
Total,,82.6,59.1,10.4,8.9,32.4,25.1,11.8,8.4,37.3,29.9,19.3,15.7,7.9,5.2,20.8,17.3,13.8,12.5
ARG,,73.0,58.0,20.6,26.7,32.1,26.2,11.2,7.7,32.5,26.4,20.4,16.3,8.6,5.7,20.5,17.0,15.5,15.6
LA-PLATA,,68.5,55.8,21.1,27.5,31.2,25.8,11.5,8.1,31.9,26.5,20.1,14.9,8.1,5.1,22.5,19.2,17.7,16.7
SE-BR,,59.6,51.2,20.5,29.6,27.7,23.7,10.2,7.0,29.7,24.8,20.2,16.1,9.0,5.6,21.0,17.2,15.4,16.4
SE-SAO,,73.4,57.1,19.2,24.0,31.2,24.3,11.2,7.6,33.7,27.7,20.6,16.0,8.5,5.2,19.7,16.2,12.6,12.4
AT-PEN,,55.8,48.0,19.9,30.8,23.9,20.9,8.4,5.3,26.6,21.3,19.6,15.1,7.4,4.3,18.9,13.2,15.2,14.7
WEDDELL,,60.2,50.4,19.0,27.5,28.3,24.8,9.2,6.1,25.6,20.6,21.2,15.1,7.2,3.8,20.2,13.8,20.4,18.0
SA-NAM,,56.0,48.5,20.1,31.2,24.7,22.0,8.2,5.7,23.8,20.4,16.6,13.7,5.9,4.4,16.4,13.2,14.8,14.3
