,start,end
incipient,1994-09-18 05:00:00,1994-09-18 10:00:00
intensification,1994-09-18 11:00:00,1994-09-18 11:00:00
decay,1994-09-18 12:00:00,1994-09-18 18:00:00
intensification 2,1994-09-18 19:00:00,1994-09-19 02:00:00
mature,1994-09-19 03:00:00,1994-09-19 04:00:00
decay 2,1994-09-19 05:00:00,1994-09-19 07:00:00
