,start,end
incipient,1991-02-06 02:00:00,1991-02-07 05:00:00
intensification,1991-02-07 06:00:00,1991-02-09 18:00:00
mature,1991-02-09 19:00:00,1991-02-10 08:00:00
decay,1991-02-10 09:00:00,1991-02-10 21:00:00
