,start,end
incipient,2002-06-09 08:00:00,2002-06-09 23:00:00
intensification,2002-06-09 12:00:00,2002-06-11 06:00:00
mature,2002-06-10 19:00:00,2002-06-11 18:00:00
decay,2002-06-11 07:00:00,2002-06-13 08:00:00
incipient 2,2002-06-12 21:00:00,2002-06-14 15:00:00
