,Ck,Ca,Ke,Ge
intensification,-1.9808510479209698,0.27600313369904284,424639.31923225214,3.784218913494831
mature,6.76513278885494,-0.09892429086005379,739933.7928100512,5.9636773448826625
decay,4.287828573602247,0.021948362898141956,269403.66868513543,0.03999877765561388
