,track_id,phase,Total Time (h),Mean Speed (m/s),Total Distance (km),Mean Vorticity (−1 × 10−5 s−1),Mean Growth Rate (10^−5 s^−1 day^-1),Straight Line Distance (km),Genesis Season,Genesis Region
0,19910760,decay,78.0,11.733139635559988,3294.665609665245,5.931681538461539,1.6687138461538467,4759.939994446556,SON,SAt
1,19910760,decay 2,11.0,3.185808693218851,126.15802425146649,8.415182727272727,-1.1430109090909055,106.0113490350876,SON,SAt
2,19910760,incipient,24.0,6.790510634735154,586.7001188411173,8.802272799999999,-0.36393000000000075,1304.9040839604563,SON,SAt
3,19910760,intensification,90.0,8.031310692464954,2602.144664358645,7.851754333333333,-0.40326133333333336,6198.094397581626,SON,SAt
4,19910760,intensification 2,3.0,6.032963023215974,65.15600065073251,8.2607,-0.9267200000000031,40.21387709399624,SON,SAt
5,19910760,mature,46.0,10.397664028637825,1721.8531631424237,5.525823043478261,-3.3658643478260872,6397.235249270703,SON,SAt
6,19910760,mature 2,2.0,6.203219692524855,44.66318178617896,8.51941,3.990239999999986,3.0547264735664257,SON,SAt
7,19910761,decay,19.0,14.147560481510572,967.6931369353232,9.360928947368421,0.4548252631578952,1562.8247172877457,SON,SAt
8,19910761,decay 2,11.0,13.361536357103665,529.1168397413052,7.0435963636363645,-4.122501818181818,493.4438653250428,SON,SAt
9,19910761,incipient,24.0,17.555319903027414,1516.7796396215685,7.7595928,-0.27378999999999865,3704.6954328964225,SON,SAt
10,19910761,intensification,39.0,15.85208957424963,2225.633376224648,6.516406923076923,1.6725046153846144,4229.896769169022,SON,SAt
11,19910761,intensification 2,3.0,6.925755622687853,74.79816072502882,8.180953333333333,0.24136000000000024,52.599886368826965,SON,SAt
12,19910761,mature,7.0,17.873966149168933,450.4239469590571,8.523521428571428,4.876114285714283,1960.2125130785466,SON,SAt
13,19910761,mature 2,2.0,5.784408719701074,41.647742781847725,7.975405,-3.3454799999999985,31.8392875165517,SON,SAt
14,19910762,decay,12.0,11.702360071181529,505.541955075042,2.8904433333333333,-4.03044,460.3832357022825,SON,SAt
15,19910762,incipient,7.0,11.406608052844748,287.44652293168764,3.86481875,-3.9831771428571416,1547.892237764981,SON,SAt
16,19910762,intensification,15.0,12.005894643238747,648.3183107348923,3.7264006666666663,-2.2216639999999996,602.0946358202224,SON,SAt
17,19910762,mature,4.0,14.058741784469174,202.44588169635614,3.4986800000000002,2.9140199999999985,155.3002524365285,SON,SAt
18,19910763,decay,19.0,13.145692379755713,899.1653587752908,3.1018115789473684,0.6015157894736847,2196.3796678998433,SON,SAt
19,19910763,decay 2,2.0,21.439537868567875,154.3646726536887,2.768845,-0.8595600000000037,77.50462097743198,SON,SAt
20,19910763,incipient,20.0,14.808419546387276,1066.206207339884,3.71934,-0.041388000000000466,2094.424306590442,SON,SAt
21,19910763,intensification,21.0,13.614963032263793,1029.291205239143,3.0346599999999997,-0.33985142857142847,2733.981253575177,SON,SAt
22,19910763,intensification 2,3.0,12.56629085513102,135.71594123541502,2.78223,0.6772799999999997,93.69078291134814,SON,SAt
23,19910763,mature,7.0,14.646597520567104,369.09425751829104,2.9499385714285715,0.0623657142857148,2139.2335717284436,SON,SAt
24,19910763,mature 2,2.0,19.889358604336103,143.20338195121997,2.8151450000000002,-0.3754799999999978,69.66834105832535,SON,SAt
25,19910764,decay,12.0,12.572141627154396,543.1165182930699,2.62983,-1.30492,508.1833560158213,SON,LA-PLATA
26,19910764,incipient,2.0,17.241165646383422,124.13639265396066,2.01042,-2.974920000000001,796.3290059966906,SON,LA-PLATA
27,19910764,intensification,7.0,11.730844099211916,295.61727130014026,2.578634285714286,4.273371428571429,147.67571419776655,SON,LA-PLATA
28,19910764,mature,4.0,14.20233943260527,204.51368782951587,2.991505,-0.7314000000000007,136.31233909734098,SON,LA-PLATA
29,19910765,decay,44.0,11.68436518069767,1850.8034446225108,4.424419772727273,-0.19525636363636334,3390.6678669183134,SON,SAt
30,19910765,decay 2,11.0,17.249807484924503,683.0923764030103,6.422037272727272,2.4741599999999995,615.9252580635799,SON,SAt
31,19910765,incipient,19.0,8.022141625873234,548.7144872097292,7.0088763157894745,1.4346694736842112,487.2476343569588,SON,SAt
32,19910765,intensification,46.0,6.929383356807355,1147.505883887298,6.29227340425532,-1.448452173913044,3552.4894020165734,SON,SAt
33,19910765,intensification 2,3.0,29.988107583048407,323.8715618969228,5.456656666666667,0.26079999999999615,216.22932842330624,SON,SAt
34,19910765,mature,28.0,10.589550804747258,1067.4267211185236,4.839208571428571,-0.4560257142857141,3486.0273918211096,SON,SAt
35,19910765,mature 2,2.0,19.273681458407935,138.77050650053712,5.615525,2.4264000000000046,71.38428619454889,SON,SAt
36,19910766,decay,19.0,19.35242892690548,1323.7061386003347,5.047962105263158,2.5072673684210534,2824.117636455554,SON,SAt
37,19910766,decay 2,11.0,3.5368789503871416,140.0604064353308,5.485207272727273,-1.578305454545455,101.78421784091223,SON,SAt
38,19910766,incipient,19.0,15.327685019924248,1048.4136553628184,7.505615263157895,2.0546526315789473,963.7041695720255,SON,SAt
39,19910766,intensification,44.0,11.88795868283636,1883.0526553612792,5.108078666666667,-0.8696727272727269,4019.2684919537896,SON,SAt
40,19910766,intensification 2,3.0,3.4144525934922605,36.87608800971642,5.83271,-0.5234400000000007,15.54263617544996,SON,SAt
41,19910766,mature,27.0,15.41718298385022,1498.5501860302413,4.40477,-0.44201777777777845,4053.530826119954,SON,SAt
42,19910766,mature 2,2.0,14.204071640120345,102.26931580886648,5.959350000000001,1.4288399999999974,17.41895573384021,SON,SAt
