,track_id,phase,Total Time (h),Mean Speed (m/s),Total Distance (km),Mean Vorticity (−1 × 10−5 s−1),Mean Growth Rate (10^−5 s^−1 day^-1),Straight Line Distance (km),Genesis Season,Genesis Region
0,19850928,decay,35.0,9.828147265939972,1238.3465555084363,4.010319428571428,-0.6787268571428573,1943.862046949309,SON,WEDDELL
1,19850928,incipient,14.0,11.360855812985948,572.5871329744919,2.1745442857142856,1.487622857142858,2038.7670578187747,SON,WEDDELL
2,19850928,intensification,60.0,11.064288364648636,2389.8862867641055,3.297303,0.411576,2480.7917347626,SON,WEDDELL
3,19850928,mature,19.0,11.128496072397764,761.189131352007,3.989723684210526,0.5731073684210527,1746.5696284127557,SON,WEDDELL
4,19850929,decay,10.0,20.05162435837037,721.8584769013332,3.9876359999999997,0.46015199999999934,643.0437855521064,SON,SE-SAO
5,19850929,incipient,9.0,23.235204571839095,752.8206281275867,3.532535,-0.0009333333333335266,3576.4920375951674,SON,SE-SAO
6,19850929,intensification,28.0,17.36996767573891,1750.892741714482,2.82964,-0.19641428571428549,1597.8983878540084,SON,SE-SAO
7,19850929,mature,12.0,13.743333262210278,593.7119969274839,3.4614008333333337,1.93614,380.7775566764157,SON,SE-SAO
8,19850930,decay,10.0,20.16585027868296,725.9706100325866,5.363218,-1.1309520000000006,543.4255311549408,SON,SAt
9,19850930,incipient,9.0,16.640769061446484,539.1609175908661,3.467472,-0.09549333333333483,3689.208844920271,SON,SAt
10,19850930,intensification,28.0,21.476401269678558,2164.821247983599,3.536715357142857,2.037771428571429,1666.6955572898287,SON,SAt
11,19850930,mature,12.0,22.7630936783618,983.3656469052297,5.1564325,1.2313600000000007,887.9116991645958,SON,SAt
12,19850931,decay,28.0,15.284295434960333,1540.6569798440016,4.719672142857143,-0.09952285714285754,2538.939389490549,SON,SAt
13,19850931,incipient,8.0,8.492262574866267,244.5771621561485,4.2062977777777775,1.91283,1082.6147445965157,SON,SAt
14,19850931,intensification,44.0,9.421163111457465,1492.3122368548625,5.0329097727272725,0.8741672727272725,2064.4703430666036,SON,SAt
15,19850931,mature,19.0,9.318661994232524,637.3964804055047,5.456278947368421,-0.24839999999999887,1817.4113519952002,SON,SAt
16,19850932,decay,18.0,11.486060415580669,744.2967149296273,2.3833777777777776,-0.874733333333333,1374.1257010058941,SON,AT-PEN
17,19850932,incipient,4.0,13.088878943605591,188.47985678792054,2.6114875,0.38616000000000117,148.33811002668438,SON,AT-PEN
18,19850932,intensification,39.0,10.948598351139944,1537.1832085000483,2.64209125,1.1561538461538459,2704.326425863248,SON,AT-PEN
19,19850932,mature,16.0,11.669956708465639,672.1895064076208,2.703285,-0.9818099999999998,1535.7023971322312,SON,AT-PEN
20,19850933,decay,10.0,9.913835257555736,356.89806927200647,3.600981,-1.2041039999999992,322.73038020141047,SON,SAt
21,19850933,incipient,4.0,32.32965397536273,465.5470172452233,3.17202,-0.20250000000000234,285.44215744536217,SON,SAt
22,19850933,intensification,15.0,6.257604761475883,337.91065711969765,3.193566875,1.3243040000000001,36.975478235162534,SON,SAt
23,19850933,mature,12.0,7.2988737149451905,315.3113444856322,3.326075,0.4960199999999995,202.78631730846018,SON,SAt
