incipient,decay,intensification,residual,intensification 2
2004-12-18 17:00:00,2004-12-18 19:00:00,2004-12-19 04:00:00,2004-12-19 13:00:00,2004-12-19 16:00:00
2004-12-18 18:00:00,2004-12-19 03:00:00,2004-12-19 12:00:00,2004-12-19 15:00:00,2004-12-20 06:00:00
