intensification,decay,intensification 2,residual
2011-04-10 02:00:00,2011-04-10 10:00:00,2011-04-10 18:00:00,2011-04-11 07:00:00
2011-04-10 09:00:00,2011-04-10 17:00:00,2011-04-11 06:00:00,2011-04-11 09:00:00
