decay,intensification,decay 2,intensification 2
1980-12-20 02:00:00,1980-12-20 09:00:00,1980-12-21 03:00:00,1980-12-20 21:00:00
1980-12-20 08:00:00,1980-12-20 12:00:00,1980-12-21 09:00:00,1980-12-21 02:00:00
