intensification,decay,incipient,decay 2
1995-07-09 21:00:00,1995-07-10 08:00:00,1995-07-10 13:00:00,1995-07-10 19:00:00
1995-07-10 07:00:00,1995-07-10 12:00:00,1995-07-10 18:00:00,1995-07-11 03:00:00
