intensification,mature,incipient,mature 2,decay
1990-09-06 10:00:00,1990-09-08 00:00:00,1990-09-08 12:00:00,1990-09-08 21:00:00,1990-09-10 06:00:00
1990-09-07 23:00:00,1990-09-08 11:00:00,1990-09-08 19:00:00,1990-09-10 05:00:00,1990-09-12 05:00:00
