incipient,intensification,mature,incipient 2,decay
1989-07-19 23:00:00,1989-07-20 01:00:00,1989-07-21 05:00:00,1989-07-21 17:00:00,1989-07-23 07:00:00
1989-07-20 00:00:00,1989-07-21 04:00:00,1989-07-21 16:00:00,1989-07-23 06:00:00,1989-07-25 09:00:00
