intensification,mature,decay,incipient
1989-07-11 19:00:00,1989-07-12 13:00:00,1989-07-12 20:00:00,1989-07-13 07:00:00
1989-07-12 12:00:00,1989-07-12 19:00:00,1989-07-13 06:00:00,1989-07-14 07:00:00
