intensification,mature,intensification 2,mature 2,decay
1988-10-23 08:00:00,1988-10-23 17:00:00,1988-10-24 00:00:00,1988-10-24 15:00:00,1988-10-24 21:00:00
1988-10-23 16:00:00,1988-10-23 21:00:00,1988-10-24 14:00:00,1988-10-24 20:00:00,1988-10-25 06:00:00
