incipient,intensification,decay,intensification 2,mature,decay 2
2018-06-01 01:00:00,2018-06-01 02:00:00,2018-06-01 08:00:00,2018-06-01 12:00:00,2018-06-01 16:00:00,2018-06-01 19:00:00
2018-06-01 01:00:00,2018-06-01 07:00:00,2018-06-01 11:00:00,2018-06-01 15:00:00,2018-06-01 18:00:00,2018-06-02 00:00:00
