intensification,mature,incipient,intensification 2,mature 2,decay,residual
2011-08-11 03:00:00,2011-08-11 10:00:00,2011-08-11 14:00:00,2011-08-11 16:00:00,2011-08-11 23:00:00,2011-08-12 03:00:00,2011-08-12 15:00:00
2011-08-11 09:00:00,2011-08-11 13:00:00,2011-08-11 15:00:00,2011-08-11 22:00:00,2011-08-12 02:00:00,2011-08-12 14:00:00,2011-08-12 15:00:00
