decay,intensification,incipient,intensification 2,decay 2
1989-07-05 20:00:00,1989-07-07 09:00:00,1989-07-08 20:00:00,1989-07-09 06:00:00,1989-07-10 17:00:00
1989-07-07 08:00:00,1989-07-08 19:00:00,1989-07-09 05:00:00,1989-07-10 16:00:00,1989-07-11 13:00:00
