intensification,mature,decay,intensification 2,mature 2,decay 2
2009-08-08 14:00:00,2009-08-09 02:00:00,2009-08-09 14:00:00,2009-08-10 17:00:00,2009-08-11 15:00:00,2009-08-12 03:00:00
2009-08-09 01:00:00,2009-08-09 13:00:00,2009-08-10 16:00:00,2009-08-11 14:00:00,2009-08-12 02:00:00,2009-08-13 04:00:00
