intensification,incipient,mature,decay
1985-11-14 22:00:00,1985-11-16 23:00:00,1985-11-17 11:00:00,1985-11-18 07:00:00
1985-11-16 22:00:00,1985-11-17 07:00:00,1985-11-18 06:00:00,1985-11-19 04:00:00
