incipient,intensification,mature,decay,residual
1986-04-26 15:00:00,1986-04-26 22:00:00,1986-04-27 14:00:00,1986-04-27 19:00:00,1986-04-28 00:00:00
1986-04-26 21:00:00,1986-04-27 13:00:00,1986-04-27 18:00:00,1986-04-27 23:00:00,1986-04-28 06:00:00
