intensification,mature,decay,incipient,decay 2
1980-10-28 22:00:00,1980-10-29 06:00:00,1980-10-29 11:00:00,1980-10-29 21:00:00,1980-10-30 00:00:00
1980-10-29 05:00:00,1980-10-29 10:00:00,1980-10-29 20:00:00,1980-10-29 23:00:00,1980-10-30 09:00:00
