intensification,incipient,intensification 2,mature,decay
1986-11-24 09:00:00,1986-11-25 04:00:00,1986-11-25 09:00:00,1986-11-26 12:00:00,1986-11-26 21:00:00
1986-11-25 03:00:00,1986-11-25 08:00:00,1986-11-26 11:00:00,1986-11-26 20:00:00,1986-11-27 12:00:00
