,start,end
incipient,2007-02-16 12:00:00,2007-02-17 01:00:00
intensification,2007-02-17 02:00:00,2007-02-19 02:00:00
mature,2007-02-19 03:00:00,2007-02-19 17:00:00
decay,2007-02-19 18:00:00,2007-02-21 17:00:00
