intensification,incipient,decay,residual
1992-10-19 16:00:00,1992-10-23 20:00:00,1992-10-24 13:00:00,1992-10-27 10:00:00
1992-10-23 19:00:00,1992-10-24 12:00:00,1992-10-27 09:00:00,1992-10-29 13:00:00
