incipient,intensification,mature,decay,intensification 2,mature 2,decay 2
2003-11-17 13:00:00,2003-11-17 16:00:00,2003-11-18 10:00:00,2003-11-18 23:00:00,2003-11-19 21:00:00,2003-11-20 11:00:00,2003-11-20 20:00:00
2003-11-17 15:00:00,2003-11-18 09:00:00,2003-11-18 22:00:00,2003-11-19 20:00:00,2003-11-20 10:00:00,2003-11-20 19:00:00,2003-11-21 16:00:00
