intensification,mature,residual,intensification 2,residual 2
2006-09-21 04:00:00,2006-09-22 00:00:00,2006-09-22 07:00:00,2006-09-22 13:00:00,2006-09-24 08:00:00
2006-09-21 23:00:00,2006-09-22 06:00:00,2006-09-22 12:00:00,2006-09-24 07:00:00,2006-09-24 09:00:00
