intensification,mature,decay,intensification 2,residual
1980-07-30 15:00:00,1980-07-30 19:00:00,1980-07-30 22:00:00,1980-07-31 03:00:00,1980-07-31 15:00:00
1980-07-30 18:00:00,1980-07-30 21:00:00,1980-07-31 02:00:00,1980-07-31 14:00:00,1980-07-31 17:00:00
