intensification,mature,incipient,intensification 2,mature 2,decay
1987-04-18 03:00:00,1987-04-19 21:00:00,1987-04-20 15:00:00,1987-04-21 03:00:00,1987-04-23 20:00:00,1987-04-25 01:00:00
1987-04-19 20:00:00,1987-04-20 14:00:00,1987-04-21 02:00:00,1987-04-23 19:00:00,1987-04-25 00:00:00,1987-04-27 13:00:00
