intensification,mature,decay,intensification 2,decay 2
1988-12-22 04:00:00,1988-12-22 11:00:00,1988-12-22 16:00:00,1988-12-22 22:00:00,1988-12-23 10:00:00
1988-12-22 10:00:00,1988-12-22 15:00:00,1988-12-22 21:00:00,1988-12-23 05:00:00,1988-12-23 18:00:00
