incipient,intensification,mature,decay
2001-03-22 23:00:00,2001-03-23 16:00:00,2001-03-25 20:00:00,2001-03-27 12:00:00
2001-03-23 15:00:00,2001-03-25 19:00:00,2001-03-27 11:00:00,2001-03-31 05:00:00
