incipient,decay,intensification,decay 2
2008-11-15 19:00:00,2008-11-15 22:00:00,2008-11-16 09:00:00,2008-11-16 17:00:00
2008-11-15 21:00:00,2008-11-16 08:00:00,2008-11-16 16:00:00,2008-11-17 00:00:00
