intensification,decay,intensification 2,mature,decay 2
2009-10-03 00:00:00,2009-10-03 10:00:00,2009-10-04 02:00:00,2009-10-05 01:00:00,2009-10-05 10:00:00
2009-10-03 09:00:00,2009-10-04 01:00:00,2009-10-05 00:00:00,2009-10-05 09:00:00,2009-10-06 03:00:00
