incipient,intensification,mature,incipient 2,intensification 2,mature 2,decay
1982-05-04 01:00:00,1982-05-05 08:00:00,1982-05-10 04:00:00,1982-05-11 16:00:00,1982-05-13 03:00:00,1982-05-17 09:00:00,1982-05-19 00:00:00
1982-05-05 07:00:00,1982-05-10 03:00:00,1982-05-11 15:00:00,1982-05-13 02:00:00,1982-05-17 08:00:00,1982-05-18 23:00:00,1982-05-21 22:00:00
