intensification,decay,intensification 2,decay 2
1999-10-24 07:00:00,1999-10-24 16:00:00,1999-10-24 20:00:00,1999-10-24 23:00:00
1999-10-24 15:00:00,1999-10-24 19:00:00,1999-10-24 22:00:00,1999-10-25 06:00:00
