mature,decay,intensification,decay 2
1998-12-22 21:00:00,1998-12-23 02:00:00,1998-12-23 11:00:00,1998-12-24 01:00:00
1998-12-23 01:00:00,1998-12-23 10:00:00,1998-12-23 20:00:00,1998-12-24 06:00:00
