incipient,decay,intensification,residual
2015-06-25 22:00:00,2015-06-26,2015-06-27 01:00:00,2015-06-27 07:00:00
2015-06-25 23:00:00,2015-06-27,2015-06-27 06:00:00,2015-06-27 09:00:00
