incipient,intensification,mature,decay,intensification 2,mature 2,decay 2,residual
1999-06-18 16:00:00,1999-06-19 03:00:00,1999-06-21 05:00:00,1999-06-22 06:00:00,1999-06-23 18:00:00,1999-06-27 19:00:00,1999-06-28 21:00:00,1999-06-30 07:00:00
1999-06-19 02:00:00,1999-06-21 04:00:00,1999-06-22 05:00:00,1999-06-23 17:00:00,1999-06-27 18:00:00,1999-06-28 20:00:00,1999-06-30 06:00:00,1999-06-30 23:00:00
