incipient,intensification,mature,incipient 2,intensification 2,mature 2,residual
1995-03-12 00:00:00,1995-03-12 02:00:00,1995-03-12 13:00:00,1995-03-12 18:00:00,1995-03-12 22:00:00,1995-03-13 19:00:00,1995-03-14 00:00:00
1995-03-12 01:00:00,1995-03-12 12:00:00,1995-03-12 17:00:00,1995-03-12 21:00:00,1995-03-13 18:00:00,1995-03-13 23:00:00,1995-03-14 03:00:00
