intensification,decay,intensification 2,decay 2,residual
1997-02-01 02:00:00,1997-02-01 08:00:00,1997-02-01 14:00:00,1997-02-01 17:00:00,1997-02-02 03:00:00
1997-02-01 07:00:00,1997-02-01 13:00:00,1997-02-01 16:00:00,1997-02-02 02:00:00,1997-02-02 07:00:00
