intensification,mature,residual,intensification 2
2016-01-02 03:00:00,2016-01-03 01:00:00,2016-01-03 08:00:00,2016-01-03 14:00:00
2016-01-03 00:00:00,2016-01-03 07:00:00,2016-01-03 13:00:00,2016-01-05 09:00:00
