decay,intensification,residual,intensification 2
1986-04-07 14:00:00,1986-04-08 00:00:00,1986-04-08 17:00:00,1986-04-08 19:00:00
1986-04-07 23:00:00,1986-04-08 16:00:00,1986-04-08 18:00:00,1986-04-09 06:00:00
