intensification,mature,decay,residual
2010-12-22 20:00:00,2010-12-23 07:00:00,2010-12-23 12:00:00,2010-12-23 18:00:00
2010-12-23 06:00:00,2010-12-23 11:00:00,2010-12-23 17:00:00,2010-12-24 04:00:00
