incipient,intensification,mature,decay,intensification 2,mature 2,decay 2
2001-04-04 19:00:00,2001-04-04 20:00:00,2001-04-05 01:00:00,2001-04-05 04:00:00,2001-04-05 07:00:00,2001-04-05 12:00:00,2001-04-05 15:00:00
2001-04-04 19:00:00,2001-04-05 00:00:00,2001-04-05 03:00:00,2001-04-05 06:00:00,2001-04-05 11:00:00,2001-04-05 14:00:00,2001-04-05 20:00:00
