incipient,intensification,mature,incipient 2,intensification 2,mature 2
2000-03-31 06:00:00,2000-03-31 11:00:00,2000-04-01 04:00:00,2000-04-01 08:00:00,2000-04-01 10:00:00,2000-04-01 14:00:00
2000-03-31 10:00:00,2000-04-01 03:00:00,2000-04-01 07:00:00,2000-04-01 09:00:00,2000-04-01 13:00:00,2000-04-01 20:00:00
