intensification,mature,decay,incipient,residual
1998-10-29 13:00:00,1998-10-30 06:00:00,1998-10-30 17:00:00,1998-10-31 11:00:00,1998-11-01 22:00:00
1998-10-30 05:00:00,1998-10-30 16:00:00,1998-10-31 10:00:00,1998-11-01 21:00:00,1998-11-02 08:00:00
