,Type of System,Total Count,Percentage
2,"incipient, intensification, mature, decay",1095,69.96805111821087
3,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",94,6.006389776357827
5,"intensification, mature, decay",93,5.942492012779553
6,"intensification, mature, decay, intensification 2, mature 2, decay 2",64,4.0894568690095845
4,intensification,53,3.386581469648562
1,"incipient, decay, intensification, mature, decay 2",44,2.8115015974440896
0,"decay, intensification, mature, decay 2",34,2.1725239616613417
