,Type of System,Total Count,Percentage
2,"incipient, intensification, mature, decay",1205,69.77417486971628
5,"intensification, mature, decay",112,6.485234510712218
3,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",107,6.195715112912565
1,"incipient, decay, intensification, mature, decay 2",69,3.9953676896352057
6,"intensification, mature, decay, intensification 2, mature 2, decay 2",65,3.7637521713954833
4,intensification,51,2.9530978575564566
0,"decay, intensification, mature, decay 2",37,2.1424435437174294
