,Type of System,Total Count,Percentage
3,"incipient, intensification, mature, decay",1219,68.32959641255606
6,"intensification, mature, decay",119,6.670403587443946
4,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",91,5.100896860986548
2,"incipient, decay, intensification, mature, decay 2",86,4.820627802690583
7,"intensification, mature, decay, intensification 2, mature 2, decay 2",73,4.091928251121076
5,intensification,46,2.57847533632287
1,"decay, intensification, mature, decay 2",45,2.522421524663677
0,decay,19,1.0650224215246635
