,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",4703,58.10476896466518
8,"intensification, mature, decay",650,8.03063998023227
4,"incipient, decay, intensification, mature, decay 2",522,6.449221645663454
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",359,4.435384235235977
2,"decay, intensification, mature, decay 2",317,3.916481344205584
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",311,3.842352359772671
0,decay,307,3.792933036817396
7,intensification,232,2.86632073140598
1,"decay, intensification",121,1.4949345193970842
3,"incipient, decay",105,1.2972572275759824
