,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",5433,59.06718851924332
8,"intensification, mature, decay",681,7.403783431180692
4,"incipient, decay, intensification, mature, decay 2",614,6.675364209610785
2,"decay, intensification, mature, decay 2",411,4.468362687540769
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",371,4.033485540334855
0,decay,353,3.8377908240921936
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",344,3.739943465970863
7,intensification,262,2.848445314198739
1,"decay, intensification",139,1.5111980865405523
3,"incipient, decay",108,1.1741682974559686
