,start,end
incipient,1999-07-09 18:00:00,1999-07-10 02:00:00
intensification,1999-07-10 03:00:00,1999-07-11 00:00:00
mature,1999-07-11 01:00:00,1999-07-11 07:00:00
decay,1999-07-11 08:00:00,1999-07-11 21:00:00
