,start,end
intensification,2016-09-12 14:00:00,2016-09-14 09:00:00
mature,2016-09-13 22:00:00,2016-09-15 09:00:00
decay,2016-09-14 22:00:00,2016-09-18 08:00:00
intensification 2,2016-09-17 21:00:00,2016-09-22 09:00:00
mature 2,2016-09-21 22:00:00,2016-09-23 14:00:00
decay 2,2016-09-23 03:00:00,2016-09-25 08:00:00
