,track_id,phase,Total Time (h),Mean Speed (m/s),Total Distance (km),Mean Vorticity (−1 × 10−5 s−1),Mean Growth Rate (10^−5 s^−1 day^-1),Straight Line Distance (km),Genesis Season,Genesis Region
0,19911064,decay,28.0,4.60694190429435,464.3797439528704,2.2860664285714285,-0.27012000000000036,270.0041578968912,DJF,WEDDELL
1,19911064,incipient,17.0,9.95337692145913,609.1466675932987,1.5843966666666667,-0.06974117647058842,640.3155352767576,DJF,WEDDELL
2,19911064,intensification,15.0,5.934159101739999,320.44459149395993,1.8587286666666667,0.40190400000000037,610.5771245977602,DJF,WEDDELL
3,19911064,mature,3.0,6.903769130229772,74.56070660648155,2.2465566666666668,1.152160000000002,44.37738982584679,DJF,WEDDELL
4,19911065,decay,13.0,9.690637396354406,453.52183014938623,2.8512730769230767,-0.8735815384615381,429.8502356844562,DJF,SAt
5,19911065,incipient,0.0,,0.0,2.93507,,0.0,DJF,SAt
6,19911065,intensification,7.0,6.776541679720473,170.7688503289559,2.933194285714286,0.21973714285714202,142.74896920096384,DJF,SAt
7,19911065,mature,3.0,4.831894515151856,52.18446076364005,3.063473333333333,0.7457600000000006,33.96566637629484,DJF,SAt
8,19911070,decay,48.0,13.69713563471929,2366.8650376794935,7.152118775510204,0.7709899999999997,7114.026786280504,DJF,ARG
9,19911070,incipient,17.0,16.86242818121574,1031.9806046904034,4.393817647058824,0.5234682352941169,6879.3541352508755,DJF,ARG
10,19911070,intensification,101.0,12.447113177649253,4525.770351393268,5.78457603960396,-0.3581869306930693,7325.033631841514,DJF,ARG
11,19911070,mature,33.0,16.240799449010527,1929.4069745424508,6.355444545454546,2.08845090909091,5394.523842624921,DJF,ARG
12,19911071,decay,13.0,5.171181522232459,242.0112952404791,1.8814592307692308,-0.6310892307692306,1204.893524606507,DJF,WEDDELL
13,19911071,incipient,14.0,3.3191621113169276,167.28577041037315,1.4481693333333332,-0.2584971428571432,484.3227397733104,DJF,WEDDELL
14,19911071,intensification,51.0,6.80466901571253,1249.3372312848203,1.6443698039215686,0.2572047058823529,1170.5519219713306,DJF,WEDDELL
15,19911071,mature,21.0,7.893133072590714,596.7208602878579,1.7380109523809524,-0.15507428571428555,1526.7652041245196,DJF,WEDDELL
16,19911073,decay,9.0,13.587715191443905,440.2419722027825,5.629962222222222,-1.1860799999999994,343.6814246460429,DJF,SAt
17,19911073,intensification,25.0,28.14922262121161,2533.430035909045,5.274065769230769,0.4746048000000005,2521.146844665435,DJF,SAt
18,19911073,mature,13.0,24.31231882598967,1137.8165210563166,5.458890769230769,1.1763876923076917,1035.301212369024,DJF,SAt
19,19911074,intensification,13.0,19.218656183548376,899.4331093900639,2.5168271428571427,-0.5756492307692306,884.7044317133962,DJF,SAt
20,19911074,mature,10.0,10.898334909787632,392.3400567523547,1.943812,-1.5546959999999996,356.98945268123043,DJF,SAt
21,19911075,decay,33.0,23.281682235544434,2765.8638495826785,3.8511627272727273,0.36879999999999963,4611.031945351395,DJF,ARG
22,19911075,incipient,6.0,18.11830274085742,391.35533920252027,5.056108333333333,-0.6268400000000015,326.6339286462622,DJF,ARG
23,19911075,intensification,47.0,19.554568679319054,3308.633020540784,3.4490379166666667,0.12375829787234072,6271.511832678131,DJF,ARG
24,19911075,mature,21.0,10.321054628446433,780.2717299105503,3.657545714285714,1.7373371428571431,2834.1160683264493,DJF,ARG
25,19911076,decay,12.0,9.367229704887375,404.66432325113465,2.146314166666667,-0.30629999999999985,311.50468350046077,DJF,LA-PLATA
26,19911076,incipient,6.0,9.093095876618184,196.41087093495275,1.708141666666667,-1.0076400000000003,167.3211005938568,DJF,LA-PLATA
27,19911076,intensification,20.0,9.10634087044412,655.6565426719766,2.1613689999999997,-0.7566959999999999,442.44232553924957,DJF,LA-PLATA
28,19911076,mature,4.0,32.485424106586755,467.7901071348493,1.89466,3.26676,373.52118135025376,DJF,LA-PLATA
29,19911077,decay,23.0,4.0865810525057915,338.3689111474795,5.187435833333333,-1.482490434782609,568.0023183888311,DJF,SAt
30,19911077,incipient,6.0,3.661277296408201,79.08358960241715,5.304706666666667,0.6861599999999974,68.19548105826901,DJF,SAt
31,19911077,intensification,34.0,5.673924506240686,694.48835956386,4.313803529411764,-1.355477647058824,733.9415113318436,DJF,SAt
32,19911077,mature,8.0,7.974599778232349,229.66847361309166,5.585905,0.900990000000002,165.3262187588875,DJF,SAt
33,19911080,decay,21.0,5.1661565507704115,390.56143523824306,2.9221995238095237,0.051108571428571295,361.2104793959066,DJF,SAt
34,19911080,intensification,43.0,6.457381380883641,999.6026377607875,2.1960979545454546,0.09103255813953487,1346.6470508913058,DJF,SAt
35,19911080,mature,8.0,4.76036114945821,137.09840110439643,2.402205,3.126150000000001,76.32374812786489,DJF,SAt
36,19911081,decay,21.0,6.243626569419167,472.01816864808893,2.8572038095238095,-0.43689142857142876,319.53599299759117,DJF,SAt
37,19911081,intensification,38.0,8.863643246160663,1212.5463960747788,1.858599230769231,-0.657056842105263,1385.4782288481035,DJF,SAt
38,19911081,mature,8.0,6.159802087211767,177.4023001116989,2.61392875,2.0732399999999997,121.7344837595652,DJF,SAt
39,19911082,decay,33.0,10.40415749503155,1236.0139104097482,4.440155151515151,0.30864727272727327,2028.2297774022918,DJF,LA-PLATA
40,19911082,incipient,2.0,11.083108625858008,79.79838210617766,5.273455,-0.4730399999999977,43.268888171230046,DJF,LA-PLATA
41,19911082,intensification,46.0,9.019324089572303,1493.6000692331734,4.7943052173913046,-0.0737008695652178,2122.4110944268486,DJF,LA-PLATA
