,Type of System,Total Count,Percentage
4,"incipient, intensification, mature, decay",3191,63.52777224766076
7,"intensification, mature, decay",381,7.5851085008958785
5,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",321,6.390603225164244
3,"incipient, decay, intensification, mature, decay 2",283,5.634083217200876
8,"intensification, mature, decay, intensification 2, mature 2, decay 2",244,4.857654787975314
1,"decay, intensification, mature, decay 2",157,3.125622138164444
0,decay,99,1.9709337049571969
6,intensification,81,1.6125821222377066
2,"incipient, decay",53,1.055146326896277
