,Type of System,Total Count,Percentage
3,"incipient, intensification, mature, decay",3830,65.63838903170522
6,"intensification, mature, decay",397,6.8037703513281915
4,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",354,6.066838046272494
2,"incipient, decay, intensification, mature, decay 2",311,5.329905741216795
7,"intensification, mature, decay, intensification 2, mature 2, decay 2",304,5.209940017137961
1,"decay, intensification, mature, decay 2",190,3.2562125107112254
0,decay,86,1.4738646101113968
5,intensification,82,1.405312767780634
