,start,end
incipient,1997-05-26 18:00:00,1997-05-26 18:00:00
intensification,1997-05-26 19:00:00,1997-05-27 01:00:00
mature,1997-05-27 02:00:00,1997-05-27 05:00:00
decay,1997-05-27 06:00:00,1997-05-28 01:00:00
